facilityName,unitNumber,firstName,lastName,phone,email,rentStartDate,rentEndDate,monthlyRent,currentRentOwed,currentRentOwedDueDate
Dallas North,1019,Lisa,Robinson,,,,,,,
Dallas South,1012,Christian,Mack,(555)662-8739x53996,andrewalters@anderson.biz,2023-05-13,2023-11-22,105.00,26.00,2023-11-29
Dallas North,1011,Eddie,Sparks,+1-118-310-1323,marvinwilliams@hotmail.com,2024-02-17,2025-02-03,202.00,58.00,2025-02-12
Unknown Facility,9999,Jeff,Fox,696.283.5971,espinozamichele@hotmail.com,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas South,1003,Jennifer,White,639.366.0928,richardmaria@sheppard-flynn.com,2024-08-23,2025-02-27,297.00,50.00,2025-03-11
Dallas South,1002,Christopher,Davenport,365-611-5020x5292,kbaker@osborne.com,2023-04-19,2023-07-06,290.00,6.00,2023-07-17
Dallas North,1007,Ashley,Martin,+1-851-932-7187x243,steven97@scott-foster.com,2024-01-03,2024-04-13,287.00,77.00,2024-04-23
Dallas South,1011,William,Davis,(396)976-3669x47585,ashley75@yahoo.com,2023-08-06,2024-01-02,135.00,83.00,2024-01-17
Dallas South,1010,Rachel,Leonard,585-770-4837,swansonscott@smith.info,2024-04-21,2025-01-07,220.00,83.00,2025-01-16
Dallas North,1014,Patrick,Scott,085.204.4282x82449,kristina62@gmail.com,2023-12-20,2024-08-03,271.00,71.00,2024-08-07
Dallas South,1014,Benjamin,Thompson,001-842-900-3417,carlosmartinez@hotmail.com,2023-07-06,2023-12-03,225.00,0.00,2023-12-04
Dallas North,1006,Chloe,Bell,,,,,,,
Dallas South,1000,Troy,Jones,4420727060,cindyknight@hotmail.com,2023-04-11,2023-07-17,250.00,34.00,2023-07-25
Unknown Facility,9999,Stephanie,Montoya,350-616-3741,fjones@jones-briggs.net,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas South,1002,Lisa,Hill,179-271-8700x3812,melissa08@hotmail.com,2023-12-15,2024-06-20,116.00,82.00,2024-06-28
Dallas South,1002,Robert,Elliott,1672575972,jlee@macdonald.com,2023-12-21,2024-03-20,98.00,41.00,2024-03-24
Dallas South,1015,Jeff,Hart,+1-921-830-6152,denisemcguire@sexton-gonzalez.com,2024-07-27,2025-03-14,65.00,38.00,2025-03-20
Dallas North,1003,Michelle,Daniel,001-189-723-0877x983,rtaylor@hotmail.com,2024-06-20,2024-11-28,222.00,41.00,2024-12-11
Unknown Facility,9999,Marissa,Smith,667-718-3381,dturner@peterson-hill.biz,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas North,1003,Laura,Chung,724.899.4944x2907,melissahorn@hayden-miller.org,2023-12-28,2024-03-20,71.00,26.00,2024-03-26
Dallas North,1009,Don,Gregory,(486)683-8141,bavery@gmail.com,2024-05-01,2025-02-09,278.00,100.00,2025-02-16
Dallas North,1012,Vincent,Allen,833.751.8146,cannonjennifer@yahoo.com,2023-03-31,2023-12-29,298.00,19.00,2024-01-10
Dallas North,1015,Cheryl,Dyer,437.967.0185x0285,campbellnatalie@mcdonald.biz,2023-01-14,2023-03-15,233.00,8.00,2023-03-23
Dallas North,1015,Jodi,Frank,567-772-5294,lopeznatalie@knight.org,2023-06-23,2024-04-11,248.00,94.00,2024-04-15
Dallas South,1008,Leonard,Williams,937-383-5621,michael69@brock.biz,2023-01-09,2023-12-29,135.00,37.00,2024-01-08
Dallas North,1004,Brenda,Baker,+1-228-003-3934,zdunn@gmail.com,2024-10-15,2024-12-31,109.00,15.00,2025-01-02
Dallas North,1012,Mark,Dennis,+1-511-745-1406x078,moorebonnie@macdonald-willis.com,2024-02-17,2025-01-12,254.00,27.00,2025-01-25
Dallas South,1001,Ethan,Young,(698)723-1677x9338,diane08@hotmail.com,2023-08-16,2024-06-13,298.00,75.00,2024-06-17
Dallas South,1004,Alex,Taylor,105-519-6648x1915,daniel51@bryant.com,2023-01-02,2023-08-27,292.00,3.00,2023-09-01
Dallas North,1001,James,Pratt,+1-093-716-8974x2082,shawnnorton@yahoo.com,2024-03-26,2024-07-05,260.00,2.00,2024-07-11
!!!Invalid Facility###,??unit,Sherri,Mcconnell,123-abc-defg,not-an-email,202x-13-40,2023-99-99,abc,-50,no-date
Dallas North,1010,Hannah,Flores,001-104-171-6721,rojasnancy@hotmail.com,2023-08-29,2024-04-12,235.00,47.00,2024-04-24
Dallas North,1019,Jacqueline,Ellis,358.808.4427,xball@yahoo.com,2023-07-03,2024-01-20,265.00,62.00,2024-01-27
Dallas North,1009,Michael,Whitaker,(762)503-4053x4718,michael48@franklin-warren.com,2024-06-01,2024-07-18,171.00,20.00,2024-08-01
Dallas North,1019,Richard,Wolfe,073-737-1298,rhondakeller@hunt.biz,2024-05-19,2025-03-07,293.00,77.00,2025-03-11
Dallas North,1010,Abigail,Russell,949.886.8880x5344,julia75@lucas.net,2024-10-04,2025-04-23,299.00,19.00,2025-04-28
Dallas South,1007,Isabella,Reed,551.142.2758,charleschavez@hotmail.com,2023-05-08,2024-01-31,243.00,49.00,2024-02-12
Unknown Facility,9999,William,House,787-167-9658x342,janetguzman@paul.com,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas South,1001,Zachary,Simpson,(257)456-5466x773,david57@watson.org,2023-12-10,2024-03-21,128.00,60.00,2024-03-30
Dallas South,1003,Carmen,Drake,(165)952-0558x48331,ashleyjohnson@gmail.com,2024-06-13,2025-04-12,278.00,53.00,2025-04-13
Dallas North,1002,Gabriel,Norman,639-916-2325x523,ingramjoseph@zamora-davis.com,2023-12-14,2024-03-05,98.00,37.00,2024-03-07
Dallas South,1019,Richard,Pennington,241-559-1852x255,spencerchristopher@gmail.com,2024-09-03,2024-12-18,146.00,81.00,2024-12-29
!!!Invalid Facility###,??unit,Randall,Leblanc,123-abc-defg,not-an-email,202x-13-40,2023-99-99,abc,-50,no-date
Dallas North,1019,Maria,Waters,526-510-3645x091,scottbrian@gmail.com,2023-09-05,2023-10-12,293.00,84.00,2023-10-17
Dallas North,1002,Alex,Payne,(145)600-9341x79486,amybranch@yahoo.com,2024-07-02,2025-05-07,298.00,95.00,2025-05-14
Dallas North,1004,Mark,Drake,(376)822-5653,joshua00@campbell.com,2023-04-05,2023-11-03,133.00,66.00,2023-11-18
Dallas North,1018,Kenneth,Lane,001-370-806-4667x497,colleen93@hotmail.com,2024-09-11,2025-08-10,252.00,86.00,2025-08-11
Unknown Facility,9999,Alan,Grimes,(114)817-7110x92281,michael03@gmail.com,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas South,1012,Patrick,Lopez,560.975.1306x496,amy50@gmail.com,2024-07-12,2025-05-18,84.00,97.00,2025-05-23
Dallas North,1014,Ronald,Sexton,001-450-420-6723x011,williamsernest@hooper-kennedy.com,2023-02-01,2023-04-07,293.00,21.00,2023-04-15
!!!Invalid Facility###,??unit,Elizabeth,Bennett,123-abc-defg,not-an-email,202x-13-40,2023-99-99,abc,-50,no-date
Dallas South,1008,Daniel,Schwartz,,,,,,,
Unknown Facility,9999,Catherine,Hunter,0908488095,bakerchristy@maxwell.com,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas North,1006,Karen,May,+1-456-337-4076,montgomeryjennifer@hotmail.com,2023-06-01,2023-12-29,189.00,25.00,2024-01-11
Unknown Facility,9999,Andrea,White,483.805.0136,wileyteresa@walters.info,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas South,1005,Anna,Herman,001-853-636-7855x4601,ythompson@johnson-riley.info,2024-03-16,2024-09-22,153.00,62.00,2024-09-24
Dallas North,1008,Donna,Allen,678.455.4956x6915,ntaylor@thomas.com,2023-11-29,2024-05-03,77.00,58.00,2024-05-06
Dallas South,1001,Gregory,Johnson,620-273-3345x00921,meltontyler@hudson-potter.com,2024-02-02,2025-01-05,135.00,52.00,2025-01-16
Dallas South,1006,Allison,Stewart,(755)675-7436,fstephens@jones.com,2023-04-23,2023-09-13,87.00,42.00,2023-09-14
Dallas North,1018,Sherri,Herrera,3622038653,joan12@hicks.info,2024-07-18,2025-03-13,108.00,54.00,2025-03-28
Dallas North,1000,Ryan,Jones,693-924-4218x51658,zbowen@lin.com,2024-02-07,2024-12-20,214.00,97.00,2024-12-31
Dallas North,1011,Nicholas,Callahan,+1-793-888-5432,williamselizabeth@gmail.com,2023-09-11,2024-05-15,87.00,26.00,2024-05-22
Dallas South,1012,Jeffery,Crosby,059-891-6726x24725,john01@freeman.net,2023-06-03,2024-05-19,175.00,0.00,2024-05-21
Dallas North,1016,Alex,Hawkins,+1-054-938-0146,tracey17@anderson-may.com,2023-08-31,2024-06-17,279.00,80.00,2024-07-01
Dallas South,1001,Gabriel,Bates,+1-499-121-1535x531,mary72@gmail.com,2023-12-17,2024-04-02,73.00,35.00,2024-04-17
Dallas South,1017,Richard,Wright,,,,,,,
Unknown Facility,9999,Karen,Wells,616.018.7309x67204,johnhess@love.biz,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
Dallas North,1001,Elizabeth,Clark,,,,,,,
Unknown Facility,9999,Ryan,Heath,+1-576-605-4039x547,matthew49@graves.com,2023-01-01,2023-12-31,100.00,50.00,2023-02-01
!!!Invalid Facility###,??unit,Jordan,Robertson,123-abc-defg,not-an-email,202x-13-40,2023-99-99,abc,-50,no-date
Dallas South,1010,Adam,Fischer,541-960-6165x54367,karenmiddleton@bowen.info,2023-11-28,2024-06-23,257.00,95.00,2024-07-07
Dallas North,1008,Brandon,Fleming,(527)414-3895,veronica16@vaughn-patel.org,2023-09-26,2023-11-06,271.00,7.00,2023-11-15
Dallas South,1015,Nathaniel,Roth,(833)954-0924x44617,peterphillips@hotmail.com,2023-02-13,2023-03-30,173.00,82.00,2023-04-09
Dallas North,1004,Michael,Moore,042-593-7895x850,kennethcamacho@gmail.com,2024-01-07,2024-07-08,253.00,39.00,2024-07-17
Dallas South,1006,Shawn,Cooper,581-725-3873x5183,amygeorge@davenport.com,2024-05-01,2025-04-27,137.00,74.00,2025-05-01
Dallas North,1014,Andrea,Lewis,(670)013-6005,jennifercrawford@caldwell-villa.com,2024-01-10,2024-04-06,96.00,77.00,2024-04-21
Dallas South,1015,Angela,Barnes,(927)770-4387,stevendavis@ballard.com,2023-07-23,2024-03-02,256.00,89.00,2024-03-14
Dallas South,1009,Kimberly,Abbott,042-656-1759x97368,timothyreed@hotmail.com,2024-04-12,2024-05-19,184.00,89.00,2024-05-22
Dallas North,1005,Robert,Ford,4273776261,jefferyjones@fitzgerald.org,2023-12-15,2024-07-18,221.00,45.00,2024-07-20
